Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W-sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m-s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
244,Biggs,Sacramento Valley,10-01-20,275,3.1, ,0, ,161, ,1.5, ,35.8, ,12.8, ,22.2, ,84, ,29, ,56, ,12.9, ,1, ,88.5, ,20.4, 
244,Biggs,Sacramento Valley,10-02-20,276,2.92, ,0, ,159, ,1.6, ,35.3, ,12.3, ,21.1, ,94, ,28, ,62, ,13.6, ,0.9, ,79.4, ,20.3, 
244,Biggs,Sacramento Valley,10-03-20,277,2.93, ,0, ,166, ,1.6, ,34.9, ,12.1, ,21.3, ,94, ,30, ,61, ,13.6, ,0.9, ,75.6, ,19.9, 
244,Biggs,Sacramento Valley,10-04-20,278,3.19, ,0, ,180, ,1.4, ,34.5, ,11.6, ,20.3, ,94, ,26, ,59, ,11.9, ,0.9, ,79.1, ,19.7, 
244,Biggs,Sacramento Valley,10-05-20,279,3.53, ,0, ,201, ,1.2, ,37.5, ,10.1, ,20.3, ,91, ,16, ,50, ,9.5, ,0.9, ,75.6, ,19.2, 
244,Biggs,Sacramento Valley,10-06-20,280,3.5, ,0, ,132, ,1.3, ,34.2, ,12.9, ,23.2, ,89, ,18, ,44, ,10.3, ,1, ,82.9, ,19.1, 
244,Biggs,Sacramento Valley,10-07-20,281,3.59, ,0, ,197, ,1.1, ,31.1, ,8.9, ,19.3, ,90, ,23, ,51, ,8.8, ,1.3, ,112, ,18.6, 
244,Biggs,Sacramento Valley,10-08-20,282,2.46, ,0, ,158, ,1.3, ,24.9, ,8.6, ,16, ,93, ,49, ,73, ,11.3, ,1.3, ,112.3, ,18.3, 
244,Biggs,Sacramento Valley,10-09-20,283,2.39, ,0, ,165, ,1.3, ,23.8, ,7.2, ,15, ,98, ,48, ,77, ,11.1, ,1.3, ,114, ,18, 
244,Biggs,Sacramento Valley,10-10-20,284,2.14, ,0, ,129, ,1.5, ,25.9, ,11.9, ,18.1, ,94, ,50, ,73, ,13.2, ,1.7, ,144.7, ,18, 
244,Biggs,Sacramento Valley,10-11-20,285,4.06, ,0, ,195, ,1, ,26.8, ,10.9, ,17.8, ,96, ,24, ,51, ,7.6, ,2.5, ,217.6, ,18.3, 
244,Biggs,Sacramento Valley,10-12-20,286,3.41, ,0, ,194, ,1.1, ,29.9, ,8.3, ,17.7, ,86, ,27, ,57, ,9, ,1.4, ,121.4, ,17.6, 
