Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (mm),qc,Total Precip (mm),qc,Avg Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Avg Max Air Temp (C),qc,Avg Min Air Temp (C),qc,Avg Air Temp (C),qc,Avg Max Rel Hum (%),qc,Avg Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Avg Dew Point (C),qc,Avg Wind Speed (m/s),qc,Avg Soil Temp (C),qc
244,Biggs,Sacramento Valley,Oct-20,107.75, ,0.1, ,170, ,1.1,K,30,K,9.5,K,18.4,K,85, ,25, ,51,K,7.5,K,1.8,K,17.2, 
244,Biggs,Sacramento Valley,Nov-20,52.25, ,8.5, ,119, ,0.9, ,19.1, ,4, ,10.6, ,94, ,37, ,66, ,4.4, ,1.8, ,11.4, 
244,Biggs,Sacramento Valley,Dec-20,37.1,K,32.1,K,91,K,0.8,K,15.4,K,3.2, ,8.7,K,96,K,50,K,74,K,4,K,1.9,K,8.6,K
244,Biggs,Sacramento Valley,Jan-21,39.43, ,53, ,88, ,0.9, ,15.2,K,4.8,K,9.5,K,95, ,58, ,79,K,5.5,K,2.3,K,8.8, 
244,Biggs,Sacramento Valley,Feb-21,59.84, ,17.2, ,140,K,0.9, ,17.8, ,5.1, ,11.1, ,91, ,43, ,66, ,4.5, ,2.4, ,10.1, 
244,Biggs,Sacramento Valley,Mar-21,104.43, ,36.9, ,212,K,0.8,K,19.6,K,4.1, ,11.4, ,88, ,34, ,59,K,3.2,K,2.4,K,11.2, 
244,Biggs,Sacramento Valley,Apr-21,148.65, ,3.4, ,288,K,0.9, ,26.3, ,6.5, ,16.7, ,84, ,27, ,49, ,5.6, ,1.9, ,15.9, 
244,Biggs,Sacramento Valley,May-21,201.61, ,0.1, ,334,K,1.2,K,29.6,K,12.7,K,21.2, ,75, ,27, ,46,K,8.8,K,2.4,K,20.1, 
244,Biggs,Sacramento Valley,Jun-21,203, ,0, ,346,K,1.6, ,33.5,K,15.7, ,24.5, ,80, ,30, ,50, ,13.3, ,1.8, ,22.9, 
244,Biggs,Sacramento Valley,Jul-21,203.44, ,0, ,328,K,1.7, ,35.1,K,16,L,25.9,K,83, ,31, ,50,L,14.5,L,1.6, ,24.7, 
